,Yield Stress (Pa),Strain to Break (%)
1-0.25,0.000769,201.842
1-1,0.4185,326.708
1-3,5.453,318.55
2-0,0.05,412.792
2-0.25,0.3,434.925
2-1,0.5,678.175
2-3,10,347.217
